Pokemon,Mobility,Support,Scoring,0ffense,Endurance,Damage,HP,Attack,Defense,Sp. Attack,Sp. Defense,Crit Rate,CDR,Lifesteal,Attack Speed,Move Speed,Attack Range,Attack Type,Difficulty,Evolution 1,Evolution 2,Class
Absol,4,0.5,2.5,3.5,2,3.5,6000,670,259,118,180,10,20,10,29.99,4250,0,0,2,-1,-1,Speedster
Aegislash,4,0.5,2.5,3.5,2,3.5,7302,357,250,115,174,10,20,0,44.99,4200,0,0,2,5,7,All-Arounder
Azumarill,2.5,0.5,2.5,3,3,2.5,7850,461,399,115,319,0,0,10,40,4200,0,0,0,4,-1,All-Arounder
Blastoise,2,3,2,2,3.5,2.5,9801,292,599,412,420,0,10,0,30,4300,1,1,0,5,7,Defender
Blaziken,4,0.5,1,4,2.5,4,7800,490,458,115,351,20,0,15,30,4300,0,0,2,5,7,All-Arounder
Blissey,1.5,4.5,1.5,1,3.5,2,10000,310,200,600,300,0,10,0,19.99,4300,0,1,1,4,-1,Supporter
Buzzwole,2.5,2,2,4,3,3.5,7800,452,500,115,380,20,0,15,29.99,4300,0,0,1,-1,-1,All-Arounder
Ceruledge,2.5,0.5,2.5,4,2.5,4.5,7850,430,320,116,380,20,0,10,50,4300,0,0,1,5,-1,All-Arounder
Chandelure,1,3,2,5,1,4.5,6300,295,175,1005,140,0,25,0,30,4300,1,1,0,5,7,Attackers
Charizard,2.5,0.5,3,3.5,3,2,7700,462,350,115,268,30,0,15,0,4300,0,0,0,5,7,All-Arounder
Cinderace,3,0.5,2.5,4,1.5,4.5,5400,418,250,119,149,30,0,15,140,4250,1,0,0,5,7,Attackers
Clefable,1.5,4.5,1.5,2,3,2.5,8000,300,260,670,200,0,10,0,20,4300,0,1,0,4,-1,Supporter
Comfey,3.5,5,2.5,2,2.5,1.5,5500,290,190,650,160,0,10,0,20,4300,1,1,0,-1,-1,Supporter
Cramorant,3,1,1.5,4,3,4.5,6301,286,300,739,200,0,25,0,49.99,4300,1,1,2,-1,-1,Attackers
Crustle,1.5,3,2,1.5,4,1.5,9900,344,580,116,400,0,10,0,30,4200,0,0,1,4,-1,Defender
Decidueye,1.5,3.5,3.5,3.5,1.5,2.5,5152,450,250,150,150,30,0,25,120,4200,1,0,1,5,7,Attackers
Delphox,3,0.5,2.5,4,1.5,4.5,6290,292,174,950,139,0,25,0,24.99,4300,1,1,1,4,6,Attackers
Dodrio,4,0.5,4,3,2,3.5,6300,625,298,117,200,10,0,0,30,4300,0,0,2,5,-1,Speedster
Dragapult,4,0.5,2.5,4,1.5,4,5500,500,240,114,160,25,0,15,80,4250,1,0,1,5,9,Attackers
Dragonite,2.5,0.5,3,4,2.5,2,7750,550,415,115,315,20,0,15,50,4300,1,0,1,5,8,All-Arounder
Duraludon,2.5,1.5,2.5,4.5,2,3.5,5397,500,301,119,200,20,0,25,80,4250,1,0,1,-1,-1,Attackers
Eldegoss,2.5,4,2.5,1.5,2,2.5,8002,310,200,670,149,0,10,0,19.99,4400,1,1,0,4,-1,Supporter
Espeon,1.5,3,2,4,2,2.5,6320,289,175,999,135,0,25,0,10,4300,1,1,1,4,-1,Attackers
Falinks,2.5,1,2,3.5,4.5,3,8000,430,460,115,360,20,0,15,30,4300,0,0,2,-1,-1,All-Arounder
Garchomp,2.5,0.5,2.5,3.5,3.5,3.5,7750,516,472,114,367,20,0,15,55,4400,0,0,1,5,9,All-Arounder
Gardevoir,1.5,1.5,3,4.5,1.5,2.5,6320,291,174,1050,138,0,25,0,10,4300,1,1,1,5,8,Attackers
Gengar,4,0.5,3,3.5,2,4.5,7200,364,290,690,210,0,25,0,39.98,4250,0,1,2,5,9,Speedster
Glaceon,3,0.5,1,4,2,2.5,6350,116,175,880,134,20,10,0,100,4300,1,1,1,4,-1,Attackers
Goodra,2.5,2,2.5,2.5,4,2.5,9800,300,600,450,500,0,10,0,30,4300,0,1,1,5,8,Defender
Greedent,2,3.5,1,1.5,5,2,9099,345,433,117,360,0,10,0,30,4200,0,0,2,5,-1,Defender
Greninja,3,0.5,3,4,2,4,5152,460,250,119,149,30,0,15,120,4200,1,0,2,5,7,Attackers
Gyarados,2.5,1,2,4,3,4.5,7000,400,400,115,300,20,0,15,10,4300,0,0,1,7,-1,All-Arounder
Hoopa,3,3.5,2,3,2,2,7902,309,299,619,200,0,10,0,40,4300,1,1,2,-1,-1,Supporter
Inteleon,3.5,0.5,1.5,4.5,1.5,2.5,6300,115,170,900,140,10,10,0,80,4300,1,1,1,5,7,Attackers
Lapras,2,3,2,3,3.5,2,9800,310,550,430,450,0,10,0,30,4300,1,1,1,-1,-1,Defender
Leafeon,2.5,2.5,2.5,3.5,1.5,3.5,6250,660,290,116,210,10,20,0,30,4250,0,0,1,4,-1,Speedster
Lucario,3.5,0.5,3,3,2.5,4.5,7249,429,390,116,300,20,0,15,40,4300,0,0,2,-1,-1,All-Arounder
Machamp,2.5,1,2.5,4,2.5,4.5,7650,479,510,114,350,20,0,20,30,4300,0,0,1,5,9,All-Arounder
Mamoswine,2,2.5,1.5,2.5,4,2.5,9648,325,510,116,379,0,10,0,30,4200,0,0,1,5,9,Defender
Meowscarada,3,0.5,2.5,4.5,1,4,6300,630,290,114,200,10,20,0,40,4250,0,0,1,4,6,Speedster
Metagross,2.5,1,1,3.5,4,4,8150,530,550,114,410,20,0,15,30,4300,0,0,1,5,9,All-Arounder
Mew,3,3,2,4,2,4,6500,300,230,900,180,0,25,0,20,4300,1,1,2,-1,-1,Attackers
Mewtwo X,2.5,2,2,3,3,4,7800,500,430,115,340,10,0,10,40,4300,0,0,0,5,-1,All-Arounder
Mewtwo Y,3.5,2,2,5,3,5,6500,116,200,780,180,0,10,0,40,4250,1,1,0,5,-1,Attackers
Mimikyu,3.5,1,1,4,2.5,4,7400,420,400,115,360,20,0,15,30,4300,0,0,1,-1,-1,All-Arounder
Miraidon,4,2,2,4,1.5,4,7000,330,280,1000,240,0,25,0,20,4250,1,1,0,-1,-1,Attackers
Mr. Mime,1,4,1.5,1.5,4,3.5,8800,293,420,450,361,0,10,0,29.99,4400,0,1,1,-1,-1,Supporter
Ninetales,1.5,3,2.5,4,1.5,2.5,6299,289,175,1002,135,0,25,0,30,4300,1,1,0,4,-1,Attackers
Pikachu,2.5,1.5,2,4.5,1.5,2.5,6300,290,175,954,135,0,25,0,10,4300,1,1,0,-1,-1,Attackers
Sableye,2.5,3.5,3.5,1,2.5,2.5,6900,300,200,120,150,0,10,0,20,4300,0,0,1,-1,-1,Supporter
Scizor,4,1,2,4.5,2.5,4.5,8100,460,510,115,410,20,0,15,30,4250,0,0,1,5,-1,All-Arounder
Scyther,4,1,2,4.5,2.5,4.5,6450,630,300,115,200,10,20,0,30,4250,0,0,1,5,-1,Speedster
Slowbro,2.5,4,1.5,1.5,4,2.5,9400,292,480,411,420,0,10,0,30,4300,1,1,0,4,-1,Defender
Snorlax,2,2.5,1.5,1.5,5,3,9899,345,580,116,440,0,10,0,40,4250,0,0,0,-1,-1,Defender
Sylveon,1.5,3.5,3.5,3.5,1.5,2.5,7148,363,260,720,191,0,10,0,39.99,4300,1,1,0,4,-1,Attackers
Talonflame,5,0.5,3.5,2.5,1.5,4,6300,710,290,117,200,10,20,0,39.98,4250,0,0,1,5,7,Speedster
Trevenant,2,2.5,2.5,2,4,2.5,9599,330,520,117,421,0,10,0,30,4400,0,0,1,5,-1,Defender
Tsareena,3,0.5,1.5,3.5,3,2,7298,460,410,114,340,20,0,20,50.01,4250,0,0,2,4,6,All-Arounder
Tyranitar,2,1,1.5,4,4,4,8950,450,520,114,395,20,0,15,30,4400,0,0,1,5,9,All-Arounder
Umbreon,1.5,4,1.5,1.5,4,2.5,9550,350,500,114,400,0,10,0,30,4300,0,0,0,4,-1,Defender
Urshifu,2.5,1,2.5,4.5,3,4.5,7900,480,430,115,340,20,0,15,30,4300,0,0,1,5,-1,All-Arounder
Venusaur,2,1,2.5,4.5,2,1.5,6500,292,225,962,169,0,25,0,20.01,4300,1,1,0,5,7,Attackers
Wigglytuff,2.5,4.5,2,1,2.5,2.5,9452,310,539,552,482,0,10,0,20,4300,0,1,1,4,-1,Supporter
Zacian,3,2,1,5,4,4.5,8000,580,440,115,350,10,0,15,40,4400,0,0,1,-1,-1,All-Arounder
Zeraora,4,0.5,3,3.5,1.5,3.5,6319,649,300,118,200,10,20,0,29.99,4250,0,0,1,-1,-1,Speedster
Zoroark,4,0.5,2,3.5,1.5,3.5,6200,660,260,120,180,10,20,0,30,4250,0,0,2,5,-1,Speedster
